"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Blocked Shots","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Red Cards"
"Granada CF","away","loss","[{""time"":13,""event"":""foul""},{""time"":33,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.36","43%","6","2","1","4","1","3","4","12","26","17","5",
"Ath Bilbao","home","win","[{""time"":30,""event"":""goal""},{""time"":42,""event"":""goal""},{""time"":70,""event"":""foul""},{""time"":93,""event"":""foul""}]","1.50","49%","10","3","5","1","1","6","2","21","21","16","0",
"Real Sociedad","away","loss","[{""time"":19,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":88,""event"":""goal""},{""time"":90,""event"":""foul""},{""time"":92,""event"":""foul""},{""time"":93,""event"":""foul""}]","1.38","51%","9","1","5","4","5","3","0","18","25","21","1",
"Mallorca","home","draw","[{""time"":37,""event"":""foul""},{""time"":43,""event"":""goal""},{""time"":48,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":89,""event"":""foul""}]","1.76","56%","17","6","10","4","8","3","1","16","27","18","1",
"Celta Vigo","away","draw","[{""time"":10,""event"":""goal""},{""time"":82,""event"":""foul""}]","0.65","44%","6","2","1","1","3","1","0","18","16","18","5",
"Las Palmas","home","win","[{""time"":8,""event"":""goal""},{""time"":16,""event"":""foul""},{""time"":16,""event"":""foul""},{""time"":34,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":51,""event"":""goal""},{""time"":63,""event"":""goal""}]","0.46","55%","8","3","4","4","2","3","0","16","8","13","3",
"Villarreal","away","loss","[{""time"":1,""event"":""foul""},{""time"":19,""event"":""foul""},{""time"":39,""event"":""foul""}]","2.07","45%","17","3","6","3","10","4","8","12","19","11","0",
"Sevilla","home","loss","[{""time"":50,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":70,""event"":""goal""},{""time"":73,""event"":""foul""},{""time"":82,""event"":""goal""}]","1.92","68%","19","4","5","4","13","2","5","13","25","12","5",
"Alaves","away","win","[{""time"":23,""event"":""foul""},{""time"":26,""event"":""goal""},{""time"":40,""event"":""goal""},{""time"":81,""event"":""foul""},{""time"":90,""event"":""goal""},{""time"":92,""event"":""foul""}]","1.91","32%","16","8","4","3","3","5","0","15","11","13","2",
"Las Palmas","home","loss","[{""time"":12,""event"":""goal""},{""time"":58,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":89,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":92,""event"":""foul""}]","0.65","45%","12","3","5","5","4","5","2","21","9","14","3","1"
"Barcelona","away","win","[{""time"":11,""event"":""foul""},{""time"":20,""event"":""foul""},{""time"":20,""event"":""foul""},{""time"":55,""event"":""goal""},{""time"":81,""event"":""foul""},{""time"":93,""event"":""goal""}]","2.50","55%","15","5","10","2","4","6","14","15","26","5","2","0"
"Sevilla","home","loss","[{""time"":36,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":86,""event"":""foul""}]",,"61%","11","2","5","3","7","2","2","15","18","9","4",
"Ath Bilbao","away","win","[{""time"":30,""event"":""goal""},{""time"":76,""event"":""goal""},{""time"":92,""event"":""foul""}]",,"39%","15","6","4","1","6","3","1","12","11","19","2",
"Osasuna","home","win","[{""time"":14,""event"":""foul""},{""time"":27,""event"":""goal""},{""time"":89,""event"":""foul""}]","0.89","51%","14","2","5","1","10","2","0","9","22","14","0",
"Almeria","away","loss","[{""time"":29,""event"":""foul""},{""time"":75,""event"":""foul""}]","0.16","49%","4","0","4","2","2","2","3","14","15","5","1",
"Girona","home","win","[{""time"":2,""event"":""goal""},{""time"":26,""event"":""goal""},{""time"":39,""event"":""goal""},{""time"":67,""event"":""foul""},{""time"":91,""event"":""goal""}]","2.79","51%","17","9","7","0","5","3","0","13","11","8","9",
"Atl. Madrid","away","loss","[{""time"":14,""event"":""goal""},{""time"":44,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":54,""event"":""goal""},{""time"":90,""event"":""foul""}]","2.16","49%","18","12","8","1","4","2","2","9","4","10","5",
"Celta Vigo","home","win","[{""time"":16,""event"":""goal""},{""time"":67,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":96,""event"":""goal""}]","2.56","40%","19","6","8","0","8","5","2","14","15","10","2",
"Betis","away","loss","[{""time"":6,""event"":""goal""},{""time"":33,""event"":""foul""},{""time"":91,""event"":""foul""}]","1.56","60%","14","3","7","2","4","7","1","11","26","12","4",
"Real Madrid","home","win","[{""time"":35,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":78,""event"":""goal""}]","1.82","67%","17","5","5","2","7","5","0","13","27","5","0",
"Mallorca","away","loss","[{""time"":1,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":70,""event"":""foul""}]","0.61","33%","7","0","4","3","5","2","0","5","21","15","4",
"Granada CF","home","win","[{""time"":22,""event"":""goal""},{""time"":64,""event"":""foul""},{""time"":65,""event"":""foul""},{""time"":70,""event"":""goal""},{""time"":86,""event"":""foul""}]","3.11","55%","15","8","5","3","6","1","0","16","18","17","2","0"
"Cadiz CF","away","loss","[{""time"":21,""event"":""foul""},{""time"":42,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":98,""event"":""foul""}]","0.85","45%","15","2","6","4","6","7","3","15","23","16","6","1"
"Valencia","home","win","[{""time"":4,""event"":""goal""},{""time"":27,""event"":""goal""},{""time"":57,""event"":""goal""},{""time"":63,""event"":""foul""},{""time"":74,""event"":""foul""}]","2.85","45%","11","8","4","2","3","0","1","17","18","12","3",
"Villarreal","away","loss","[{""time"":17,""event"":""foul""},{""time"":37,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":73,""event"":""goal""},{""time"":80,""event"":""foul""},{""time"":87,""event"":""foul""},{""time"":92,""event"":""foul""}]","0.73","55%","8","4","3","5","3","1","4","13","14","15","5",
"Real Sociedad","home","draw","[{""time"":36,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":96,""event"":""goal""},{""time"":98,""event"":""foul""},{""time"":101,""event"":""foul""}]","1.30","53%","16","6","6","4","6","4","0","18","31","9","1","1"
"Alaves","away","draw","[{""time"":50,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":76,""event"":""goal""},{""time"":87,""event"":""foul""},{""time"":93,""event"":""foul""}]","1.08","47%","7","2","4","4","1","4","0","9","26","17","5","0"
"Getafe","home","loss","[{""time"":19,""event"":""foul""},{""time"":23,""event"":""foul""},{""time"":40,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":82,""event"":""foul""}]","0.28","37%","5","0","2","6","3","2","3","21","21","16","6","2"
"Rayo Vallecano","away","win","[{""time"":4,""event"":""foul""},{""time"":38,""event"":""foul""},{""time"":46,""event"":""goal""},{""time"":47,""event"":""goal""},{""time"":90,""event"":""foul""}]","1.81","63%","12","8","3","3","3","1","4","18","17","16","0","0"
"Atl. Madrid","home","win","[{""time"":27,""event"":""foul""},{""time"":38,""event"":""foul""},{""time"":46,""event"":""goal""},{""time"":70,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":85,""event"":""foul""},{""time"":90,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.81","50%","12","4","6","7","3","5","2","12","18","12","2","1"
"Sevilla","away","loss","[{""time"":43,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":83,""event"":""foul""}]","0.31","50%","8","2","5","3","3","3","0","9","12","19","3","0"
"Alaves","home","loss","[{""time"":45,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":90,""event"":""foul""}]","0.47","40%","8","2","3","3","1","5","1","13","16","18","3","0"
"Real Madrid","away","win","[{""time"":39,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":92,""event"":""goal""},{""time"":96,""event"":""foul""}]","0.66","60%","9","4","3","1","3","2","0","18","20","13","2","1"
"Mallorca","home","win","[{""time"":12,""event"":""goal""},{""time"":28,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":53,""event"":""goal""},{""time"":62,""event"":""goal""},{""time"":79,""event"":""foul""}]","1.10","42%","15","8","7","3","4","3","3","13","19","11","5",
"Osasuna","away","loss","[{""time"":7,""event"":""goal""},{""time"":91,""event"":""goal""},{""time"":95,""event"":""foul""}]","1.54","58%","12","7","0","1","2","3","0","14","29","12","5",
"Betis","home","draw","[{""time"":15,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":88,""event"":""goal""}]","1.55","47%","21","4","7","2","7","10","1","12","16","6","3",
"Girona","away","draw","[{""time"":34,""event"":""foul""},{""time"":39,""event"":""goal""},{""time"":43,""event"":""foul""},{""time"":82,""event"":""foul""}]","1.69","53%","12","4","6","2","4","4","3","6","15","9","3",
"Cadiz CF","home","draw","[{""time"":32,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":85,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.54","40%","10","2","7","3","7","1","1","15","18","16","1",
"Real Sociedad","away","draw","[{""time"":69,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":85,""event"":""foul""}]","0.60","60%","8","1","5","1","3","4","2","17","24","15","2",
"Ath Bilbao","home","win","[{""time"":40,""event"":""foul""},{""time"":94,""event"":""goal""},{""time"":97,""event"":""foul""}]","2.30","51%","19","10","5","1","7","2","3","12","18","12","1",
"Las Palmas","away","loss","[{""time"":39,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":97,""event"":""foul""}]","0.33","49%","5","1","2","3","2","2","4","15","20","11","9",
"Villarreal","home","win","[{""time"":13,""event"":""goal""},{""time"":22,""event"":""foul""},{""time"":40,""event"":""goal""},{""time"":48,""event"":""goal""},{""time"":75,""event"":""foul""},{""time"":76,""event"":""foul""}]","2.67","48%","12","8","4","2","3","1","0","14","35","16","3",
"Celta Vigo","away","loss","[{""time"":46,""event"":""foul""},{""time"":52,""event"":""goal""},{""time"":57,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":84,""event"":""foul""}]","1.63","52%","15","5","7","4","5","5","0","16","20","14","5",
"Barcelona","home","win","[{""time"":15,""event"":""foul""},{""time"":21,""event"":""foul""},{""time"":33,""event"":""goal""},{""time"":60,""event"":""goal""},{""time"":83,""event"":""goal""},{""time"":90,""event"":""foul""}]","4.12","65%","30","11","12","3","14","5","3","12","15","16","3",
"Almeria","away","loss","[{""time"":5,""event"":""foul""},{""time"":41,""event"":""goal""},{""time"":57,""event"":""foul""},{""time"":71,""event"":""goal""},{""time"":85,""event"":""foul""}]","1.24","35%","10","5","0","3","4","1","3","19","11","9","8",
"Atl. Madrid","home","draw","[{""time"":15,""event"":""foul""},{""time"":38,""event"":""foul""},{""time"":44,""event"":""goal""},{""time"":63,""event"":""goal""},{""time"":69,""event"":""goal""},{""time"":90,""event"":""foul""}]","2.28","41%","8","4","1","3","2","2","10","12","14","7","6","1"
"Getafe","away","draw","[{""time"":52,""event"":""foul""},{""time"":53,""event"":""goal""},{""time"":68,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":87,""event"":""goal""},{""time"":93,""event"":""goal""}]","2.20","59%","29","9","12","3","14","6","0","14","16","14","1","0"
"Granada CF","home","loss","[{""time"":38,""event"":""foul""},{""time"":57,""event"":""foul""}]","0.89","51%","12","3","6","2","5","4","2","19","32","10","2",
"Sevilla","away","win","[{""time"":23,""event"":""goal""},{""time"":32,""event"":""goal""},{""time"":49,""event"":""goal""},{""time"":74,""event"":""foul""}]","0.47","49%","12","5","4","1","5","2","2","12","16","18","3",
"Rayo Vallecano","home","loss","[{""time"":70,""event"":""foul""}]","0.26","59%","7","1","8","1","4","2","2","20","24","16","2","0"
"Valencia","away","win","[{""time"":34,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":61,""event"":""goal""},{""time"":75,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.22","41%","8","3","1","5","3","2","2","18","22","18","1","1"
"Girona","home","win","[{""time"":23,""event"":""goal""},{""time"":42,""event"":""goal""},{""time"":59,""event"":""goal""},{""time"":79,""event"":""foul""}]","1.76","67%","9","4","3","0","3","2","3","7","18","9","2",
"Alaves","away","loss","[{""time"":39,""event"":""foul""}]","0.70","33%","12","2","2","1","9","1","1","12","17","7","1",
"Real Madrid","home","win","[{""time"":25,""event"":""goal""},{""time"":35,""event"":""foul""},{""time"":37,""event"":""goal""},{""time"":64,""event"":""goal""},{""time"":67,""event"":""foul""},{""time"":68,""event"":""goal""},{""time"":84,""event"":""foul""}]","2.15","60%","22","9","14","2","5","8","4","12","6","14","0",
"Villarreal","away","loss","[{""time"":29,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":54,""event"":""goal""},{""time"":67,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":85,""event"":""foul""}]","0.68","40%","3","1","0","3","1","1","0","20","13","12","5",
"Las Palmas","home","draw","[{""time"":7,""event"":""goal""},{""time"":94,""event"":""foul""}]","0.61","65%","7","2","4","1","5","0","3","15","22","9","4",
"Cadiz CF","away","draw","[{""time"":24,""event"":""foul""},{""time"":30,""event"":""foul""},{""time"":31,""event"":""foul""},{""time"":33,""event"":""foul""},{""time"":83,""event"":""goal""}]","1.16","35%","13","5","6","3","5","3","5","12","26","12","1",
"Real Sociedad","home","draw","[{""time"":85,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.00","57%","12","4","3","3","5","3","5","13","19","12","3",
"Betis","away","draw","[{""time"":43,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":87,""event"":""foul""}]","1.24","43%","12","3","7","4","5","4","1","17","14","12","4",
"Almeria","home","draw","[{""time"":73,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":84,""event"":""foul""}]","0.29","53%","7","1","4","2","2","4","1","11","25","12","2",
"Mallorca","away","draw","[{""time"":33,""event"":""foul""},{""time"":89,""event"":""foul""}]","1.76","47%","20","2","4","1","11","7","2","12","33","9","1",
"Valencia","home","draw","[{""time"":65,""event"":""foul""},{""time"":70,""event"":""goal""}]","0.40","36%","11","4","4","1","4","3","3","14","21","9","7",
"Barcelona","away","draw","[{""time"":55,""event"":""goal""},{""time"":77,""event"":""foul""},{""time"":79,""event"":""foul""}]","3.52","64%","16","8","6","2","4","4","3","12","21","11","3",
"Sevilla","home","loss","[{""time"":4,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":86,""event"":""foul""}]","1.00","57%","12","4","4","3","4","4","6","18","19","18","4",
"Getafe","away","win","[{""time"":5,""event"":""goal""},{""time"":12,""event"":""foul""},{""time"":24,""event"":""foul""},{""time"":34,""event"":""foul""},{""time"":37,""event"":""goal""},{""time"":80,""event"":""goal""},{""time"":94,""event"":""foul""}]","2.17","43%","14","7","2","3","5","2","0","23","19","18","4",
"Ath Bilbao","home","win","[{""time"":36,""event"":""foul""},{""time"":51,""event"":""goal""},{""time"":64,""event"":""goal""}]","2.45","38%","16","7","3","0","6","3","1","13","14","7","3",
"Atl. Madrid","away","loss","[{""time"":49,""event"":""foul""}]","0.42","62%","7","3","7","1","2","2","4","6","22","10","5",
"Celta Vigo","home","draw","[{""time"":22,""event"":""foul""},{""time"":29,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":84,""event"":""foul""}]","1.39","39%","11","4","7","6","6","1","3","17","18","20","2","1"
"Granada CF","away","draw","[{""time"":93,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.50","61%","7","2","1","2","3","2","0","24","27","18","3","0"
"Osasuna","home","win","[{""time"":74,""event"":""foul""},{""time"":95,""event"":""goal""},{""time"":96,""event"":""foul""}]","0.60","61%","10","4","9","2","5","1","0","18","22","20","3",
"Rayo Vallecano","away","loss","[{""time"":40,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":55,""event"":""foul""}]","0.79","39%","9","3","1","3","5","1","3","20","22","13","3",
"Granada CF","home","draw","[{""time"":55,""event"":""goal""}]","0.73","48%","7","3","1","0","3","1","2","10","20","9","3",
"Ath Bilbao","away","draw","[{""time"":6,""event"":""goal""},{""time"":78,""event"":""foul""},{""time"":90,""event"":""foul""}]","1.01","52%","19","4","8","2","12","3","1","8","15","11","2",
"Rayo Vallecano","home","draw","[{""time"":68,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":83,""event"":""foul""}]","1.04","63%","18","4","8","3","8","6","3","8","18","15","2",
"Celta Vigo","away","draw","[]","0.13","37%","4","2","1","0","2","0","0","15","7","10","4",
"Barcelona","home","loss","[{""time"":19,""event"":""goal""},{""time"":92,""event"":""goal""},{""time"":98,""event"":""foul""}]","3.50","53%","31","11","8","1","11","9","1","13","24","7","3",
"Girona","away","win","[{""time"":12,""event"":""goal""},{""time"":40,""event"":""goal""},{""time"":64,""event"":""foul""},{""time"":80,""event"":""goal""},{""time"":95,""event"":""goal""},{""time"":96,""event"":""foul""}]","2.70","47%","15","7","3","2","6","2","2","8","12","10","9",
"Cadiz CF","home","draw","[{""time"":19,""event"":""goal""},{""time"":68,""event"":""foul""}]","0.71","44%","12","5","2","1","4","3","8","18","31","15","4",
"Osasuna","away","draw","[{""time"":9,""event"":""foul""},{""time"":70,""event"":""goal""},{""time"":87,""event"":""foul""}]","1.72","56%","13","5","4","2","3","5","2","23","25","16","4",
"Atl. Madrid","home","win","[{""time"":6,""event"":""foul""},{""time"":17,""event"":""goal""},{""time"":22,""event"":""goal""},{""time"":91,""event"":""foul""}]","2.08","57%","13","4","3","1","7","2","4","8","19","13","4",
"Almeria","away","loss","[{""time"":62,""event"":""goal""}]","1.09","43%","19","5","15","0","6","8","2","8","14","11","2",
"Mallorca","home","win","[{""time"":11,""event"":""goal""},{""time"":68,""event"":""foul""},{""time"":93,""event"":""foul""}]","0.36","33%","6","3","4","2","1","2","3","7","20","15","5",
"Sevilla","away","loss","[{""time"":33,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":74,""event"":""foul""}]","0.54","67%","19","5","12","2","10","4","1","18","19","6","2",
"Villarreal","home","loss","[{""time"":23,""event"":""foul""},{""time"":49,""event"":""foul""}]","2.05","51%","20","4","5","2","4","12","7","21","28","10","2",
"Real Sociedad","away","win","[{""time"":30,""event"":""foul""},{""time"":38,""event"":""goal""},{""time"":41,""event"":""goal""},{""time"":49,""event"":""goal""},{""time"":60,""event"":""foul""}]","1.25","49%","16","5","3","1","6","5","2","18","13","22","4",
"Betis","home","draw","[{""time"":66,""event"":""goal""},{""time"":78,""event"":""foul""},{""time"":82,""event"":""foul""}]","1.13","37%","14","6","8","2","4","4","0","9","11","14","1",
"Real Madrid","away","draw","[{""time"":53,""event"":""goal""},{""time"":96,""event"":""foul""}]","0.94","63%","12","2","6","1","6","4","1","14","20","7","5",
"Alaves","home","loss","[{""time"":48,""event"":""foul""},{""time"":53,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":90,""event"":""foul""},{""time"":92,""event"":""foul""},{""time"":97,""event"":""foul""}]","1.87","40%","19","5","12","3","8","6","7","19","18","13","1",
"Las Palmas","away","win","[{""time"":9,""event"":""foul""},{""time"":31,""event"":""goal""},{""time"":33,""event"":""foul""},{""time"":97,""event"":""foul""},{""time"":98,""event"":""foul""}]","0.35","60%","9","2","3","4","6","1","3","21","12","13","5",
"Getafe","home","win","[{""time"":57,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":87,""event"":""goal""},{""time"":93,""event"":""foul""}]","0.76","68%","8","6","7","2","1","1","2","15","28","15","0","1"
"Valencia","away","loss","[{""time"":42,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":93,""event"":""foul""}]","0.16","32%","3","0","0","4","3","0","1","16","17","15","5","2"
"Celta Vigo","home","draw","[{""time"":57,""event"":""goal""},{""time"":93,""event"":""foul""}]","2.78","68%","26","7","12","1","10","9","2","18","20","14","0","0"
"Cadiz CF","away","draw","[{""time"":12,""event"":""foul""},{""time"":16,""event"":""goal""},{""time"":21,""event"":""foul""},{""time"":33,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":93,""event"":""foul""}]","0.17","32%","2","1","1","6","1","0","1","14","11","18","6","1"
"Barcelona","home","win","[{""time"":28,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":87,""event"":""foul""},{""time"":93,""event"":""foul""}]","2.17","59%","13","2","7","5","7","4","1","16","13","17","4",
"Atl. Madrid","away","loss","[{""time"":31,""event"":""foul""},{""time"":34,""event"":""foul""},{""time"":38,""event"":""foul""},{""time"":47,""event"":""foul""}]","0.60","41%","8","4","2","4","2","2","4","16","15","12","1",
"Sevilla","home","draw","[{""time"":48,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":75,""event"":""goal""},{""time"":94,""event"":""foul""},{""time"":96,""event"":""foul""}]","1.85","56%","18","4","8","3","9","5","1","15","15","6","3",
"Villarreal","away","draw","[{""time"":45,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":77,""event"":""goal""},{""time"":84,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":95,""event"":""foul""},{""time"":98,""event"":""foul""}]","1.12","44%","5","4","4","3","1","0","0","6","11","16","3",
"Almeria","home","draw","[]","1.84","62%","20","8","4","0","9","3","4","9","21","12","2","0"
"Betis","away","draw","[{""time"":27,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":83,""event"":""foul""}]","0.49","38%","6","2","6","3","3","1","1","17","26","8","8","1"
"Mallorca","home","draw","[{""time"":24,""event"":""foul""},{""time"":36,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":97,""event"":""foul""}]","0.78","63%","7","3","5","4","2","2","1","15","24","16","4",
"Alaves","away","draw","[{""time"":27,""event"":""foul""},{""time"":72,""event"":""foul""}]","0.27","37%","7","4","4","2","0","3","0","17","16","15","3",
"Osasuna","home","draw","[{""time"":2,""event"":""goal""},{""time"":55,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":86,""event"":""foul""}]","0.63","28%","9","3","1","3","5","1","1","15","22","12","4",
"Real Sociedad","away","draw","[{""time"":41,""event"":""goal""},{""time"":49,""event"":""foul""},{""time"":65,""event"":""foul""},{""time"":84,""event"":""foul""}]","1.24","72%","17","5","8","3","5","7","5","15","20","10","2",
"Real Madrid","home","win","[{""time"":22,""event"":""foul""},{""time"":22,""event"":""foul""},{""time"":26,""event"":""goal""},{""time"":57,""event"":""goal""}]","1.36","71%","11","4","6","2","4","3","7","7","11","10","0",
"Granada CF","away","loss","[{""time"":77,""event"":""foul""}]","0.00","29%","1","0","0","1","1","0","2","8","7","12","2",
"Ath Bilbao","home","win","[{""time"":6,""event"":""foul""},{""time"":14,""event"":""foul""},{""time"":23,""event"":""goal""},{""time"":47,""event"":""goal""},{""time"":64,""event"":""goal""},{""time"":68,""event"":""goal""}]","1.46","50%","9","4","7","1","4","1","5","13","23","15","3",
"Rayo Vallecano","away","loss","[{""time"":32,""event"":""foul""},{""time"":87,""event"":""foul""}]","0.34","50%","11","3","2","2","7","1","2","21","12","11","0",
"Girona","home","win","[{""time"":13,""event"":""foul""},{""time"":36,""event"":""foul""},{""time"":42,""event"":""foul""},{""time"":82,""event"":""goal""},{""time"":88,""event"":""goal""},{""time"":92,""event"":""foul""},{""time"":92,""event"":""foul""}]","1.18","76%","9","5","3","2","0","4","8","8","20","6","2",
"Valencia","away","loss","[{""time"":56,""event"":""goal""},{""time"":61,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":96,""event"":""foul""}]","1.26","24%","9","3","2","3","3","3","2","17","18","7","3",
"Las Palmas","home","win","[{""time"":43,""event"":""goal""},{""time"":88,""event"":""foul""},{""time"":92,""event"":""goal""}]","1.36","71%","11","6","4","0","1","4","4","10","15","11","4","0"
"Getafe","away","loss","[{""time"":11,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":91,""event"":""foul""}]","0.40","29%","12","4","4","5","6","2","2","15","19","9","4","1"
"Mallorca","home","draw","[{""time"":46,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":83,""event"":""foul""}]","1.12","68%","16","3","7","2","7","6","4","18","34","14","2",
"Cadiz CF","away","draw","[{""time"":12,""event"":""goal""},{""time"":54,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":81,""event"":""foul""}]","0.33","32%","6","3","0","3","3","0","0","18","20","18","2",
"Girona","home","draw","[{""time"":55,""event"":""goal""},{""time"":59,""event"":""foul""}]","1.08","60%","13","2","2","1","9","2","2","19","13","8","5",
"Ath Bilbao","away","draw","[{""time"":51,""event"":""foul""},{""time"":67,""event"":""goal""}]","1.41","40%","13","6","6","1","2","5","2","8","19","16","1",
"Betis","home","win","[{""time"":19,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":96,""event"":""foul""}]","1.42","39%","12","6","7","1","4","2","5","16","12","6","4",
"Las Palmas","away","loss","[{""time"":33,""event"":""foul""},{""time"":53,""event"":""foul""}]","0.60","61%","15","4","6","2","9","2","4","12","11","12","5",
"Cadiz CF","home","loss","[{""time"":66,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":79,""event"":""foul""}]","0.35","39%","13","4","4","3","5","4","1","17","15","16","2",
"Real Madrid","away","win","[{""time"":3,""event"":""foul""},{""time"":14,""event"":""goal""},{""time"":32,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":70,""event"":""foul""},{""time"":74,""event"":""goal""},{""time"":84,""event"":""foul""}]","0.77","61%","14","5","4","3","3","6","1","18","13","16","4",
"Real Sociedad","home","win","[{""time"":3,""event"":""goal""},{""time"":22,""event"":""goal""},{""time"":33,""event"":""foul""},{""time"":78,""event"":""foul""}]","0.15","49%","11","8","4","2","3","0","0","11","28","22","1","0"
"Sevilla","away","loss","[{""time"":60,""event"":""goal""},{""time"":82,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":88,""event"":""foul""}]","0.43","51%","8","2","4","1","4","2","2","21","25","8","6","2"
"Villarreal","home","win","[{""time"":57,""event"":""goal""},{""time"":71,""event"":""goal""},{""time"":80,""event"":""goal""}]","2.76","45%","10","3","2",,"5","2","3","17","21","9","6",
"Osasuna","away","loss","[{""time"":78,""event"":""goal""}]","1.08","55%","15","7","4",,"5","3","3","12","18","14","0",
"Atl. Madrid","home","win","[{""time"":64,""event"":""goal""}]","1.55","68%","20","3","7",,"11","6","2","18","17","8","1",
"Mallorca","away","loss","[]","0.92","32%","8","1","3",,"5","2","1","10","17","19","2",
