"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Blocked Shots","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Red Cards"
"Alaves","home","draw","[{""time"":12,""event"":""goal""},{""time"":94,""event"":""foul""},{""time"":94,""event"":""foul""},{""time"":99,""event"":""foul""},{""time"":99,""event"":""goal""}]","1.94","35%","14","8","5","3","6","0","0","8","14","13","3",
"Girona","away","draw","[{""time"":4,""event"":""goal""},{""time"":44,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":98,""event"":""foul""}]","2.20","65%","15","5","3","2","5","5","3","12","8","6","6",
"Rayo Vallecano","home","loss","[{""time"":26,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":91,""event"":""foul""}]","1.68","68%","27","10","9","3","12","5","3","13","32","17","1",
"Almeria","away","win","[{""time"":30,""event"":""goal""},{""time"":79,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.44","32%","7","2","2","2","4","1","1","20","16","15","10",
"Sevilla","home","win","[{""time"":11,""event"":""goal""},{""time"":51,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":80,""event"":""goal""},{""time"":93,""event"":""foul""}]","1.60","60%","11","5","5","2","4","2","1","16","21","15","3",
"Granada CF","away","loss","[{""time"":38,""event"":""foul""},{""time"":53,""event"":""foul""}]","0.32","40%","8","3","4","2","3","2","2","16","15","13","2",
"Valencia","home","loss","[{""time"":34,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":78,""event"":""foul""}]","0.89","57%","13","1","5","1","7","5","2","17","28","9","3",
"Alaves","away","win","[{""time"":11,""event"":""foul""},{""time"":22,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":68,""event"":""goal""},{""time"":77,""event"":""foul""}]","0.65","43%","14","4","7","3","4","6","0","11","15","17","1",
"Celta Vigo","home","win","[{""time"":22,""event"":""goal""},{""time"":25,""event"":""foul""},{""time"":33,""event"":""foul""},{""time"":39,""event"":""goal""},{""time"":64,""event"":""foul""},{""time"":82,""event"":""goal""},{""time"":85,""event"":""foul""}]","3.84","53%","23","7","2","4","12","4","0","4","6","11","1","0"
"Villarreal","away","loss","[{""time"":12,""event"":""goal""},{""time"":17,""event"":""foul""},{""time"":65,""event"":""goal""}]","0.60","47%","11","3","1","0","4","4","1","10","11","5","4","1"
"Osasuna","home","loss","[{""time"":25,""event"":""foul""},{""time"":26,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":42,""event"":""foul""}]","0.79","41%","12","2","8","2","7","3","1","18","21","13","2","1"
"Betis","away","win","[{""time"":38,""event"":""foul""},{""time"":41,""event"":""goal""},{""time"":48,""event"":""goal""},{""time"":86,""event"":""foul""}]","1.12","59%","10","4","5","2","4","2","4","14","15","13","2","0"
"Mallorca","home","loss","[{""time"":71,""event"":""foul""},{""time"":75,""event"":""foul""}]","0.26","59%","7","4","6","2","3","0","2","7","15","12","3",
"Atl. Madrid","away","win","[{""time"":5,""event"":""goal""},{""time"":90,""event"":""foul""}]","0.65","41%","9","4","2","0","4","1","0","14","20","7","4",
"Girona","home","win","[{""time"":4,""event"":""goal""},{""time"":65,""event"":""goal""},{""time"":67,""event"":""goal""},{""time"":74,""event"":""goal""},{""time"":86,""event"":""foul""}]","1.99","40%","9","7","5","0","0","2","4","10","19","11","5",
"Barcelona","away","loss","[{""time"":3,""event"":""goal""},{""time"":28,""event"":""foul""},{""time"":39,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":46,""event"":""goal""}]","2.51","60%","16","7","4","3","5","4","2","14","20","8","3",
"Real Madrid","home","win","[{""time"":51,""event"":""goal""},{""time"":68,""event"":""goal""},{""time"":93,""event"":""goal""}]","2.43","71%","19","9","7","0","5","5","2","14","12","6","2",
"Cadiz CF","away","loss","[{""time"":38,""event"":""foul""}]","0.82","29%","7","2","4","1","4","1","1","7","21","12","6",
"Real Sociedad","home","win","[{""time"":17,""event"":""foul""},{""time"":33,""event"":""foul""},{""time"":40,""event"":""foul""},{""time"":46,""event"":""goal""},{""time"":50,""event"":""foul""}]","0.59","52%","9","4","7","2","3","2","3","14","18","12","1",
"Las Palmas","away","loss","[{""time"":67,""event"":""foul""}]","0.43","48%","7","1","2","1","3","3","3","16","20","11","3",
"Getafe","home","loss","[{""time"":88,""event"":""foul""}]","3.77","64%","34","9","10","0","13","12","4","8","29","6","0","0"
"Ath Bilbao","away","win","[{""time"":27,""event"":""goal""},{""time"":51,""event"":""goal""},{""time"":58,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":85,""event"":""foul""}]","0.70","36%","7","2","6","2","3","2","0","10","18","9","9","2"
"Barcelona","home","win","[{""time"":22,""event"":""goal""},{""time"":42,""event"":""foul""},{""time"":49,""event"":""goal""},{""time"":82,""event"":""goal""},{""time"":93,""event"":""goal""}]","2.20","80%","27","13","15","1","4","10","2","7","18","12","1","0"
"Valencia","away","loss","[{""time"":27,""event"":""goal""},{""time"":38,""event"":""goal""},{""time"":49,""event"":""foul""}]","2.11","20%","5","3","1","0","1","1","2","14","12","5","9","1"
"Betis","home","draw","[{""time"":6,""event"":""foul""},{""time"":38,""event"":""goal""},{""time"":40,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.79","51%","15","5","4","3","7","3","2","21","11","9","0",
"Sevilla","away","draw","[{""time"":15,""event"":""foul""},{""time"":16,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":56,""event"":""goal""},{""time"":61,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.20","49%","10","1","6","5","7","2","2","11","17","20","4",
"Villarreal","home","win","[{""time"":18,""event"":""goal""},{""time"":30,""event"":""foul""},{""time"":69,""event"":""goal""},{""time"":74,""event"":""goal""},{""time"":77,""event"":""foul""},{""time"":90,""event"":""foul""}]","1.05","46%","15","7","3","2","3","5","2","13","13","15","4",
"Rayo Vallecano","away","loss","[{""time"":78,""event"":""foul""}]","0.65","54%","20","4","6","1","10","6","3","17","14","8","4",
"Granada CF","home","win","[{""time"":21,""event"":""foul""},{""time"":23,""event"":""foul""},{""time"":29,""event"":""goal""},{""time"":32,""event"":""foul""},{""time"":37,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":74,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":94,""event"":""goal""}]","2.06","37%","12","4","0","4","5","3","5","2","14","17","2",
"Osasuna","away","loss","[]","0.90","63%","11","2","6","0","6","3","0","19","11","5","1",
"Cadiz CF","home","draw","[{""time"":32,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":59,""event"":""goal""},{""time"":73,""event"":""foul""}]","0.33","58%","10","2","3","3","5","3","0","20","32","14","1",
"Mallorca","away","draw","[{""time"":12,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":53,""event"":""foul""}]","0.81","42%","9","2","1","2","3","4","2","15","23","21","2",
"Atl. Madrid","home","win","[{""time"":5,""event"":""foul""},{""time"":15,""event"":""goal""},{""time"":52,""event"":""goal""},{""time"":80,""event"":""goal""},{""time"":93,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.90","42%","8","3","3","3","3","2","1","13","14","16","0",
"Ath Bilbao","away","loss","[{""time"":45,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":71,""event"":""foul""}]","1.02","58%","7","1","5","2","5","1","0","12","16","15","0",
"Alaves","home","win","[{""time"":20,""event"":""foul""},{""time"":22,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":54,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":86,""event"":""goal""}]","2.26","36%","16","8","8","3","6","2","1","5","25","10","0",
"Celta Vigo","away","loss","[{""time"":21,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":88,""event"":""foul""}]","0.15","64%","4","0","3","3","3","1","0","12","19","9","5",
"Almeria","home","loss","[{""time"":38,""event"":""foul""},{""time"":41,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":91,""event"":""foul""}]","2.00","55%","21","11","9","5","7","3","2","26","23","15","2","1"
"Getafe","away","win","[{""time"":26,""event"":""foul""},{""time"":27,""event"":""goal""},{""time"":48,""event"":""goal""},{""time"":60,""event"":""foul""},{""time"":61,""event"":""goal""},{""time"":86,""event"":""foul""},{""time"":92,""event"":""foul""}]","1.57","45%","8","5","2","4","2","1","1","18","14","31","10","0"
"Las Palmas","home","loss","[{""time"":8,""event"":""foul""},{""time"":49,""event"":""foul""}]","1.48","61%","10","5","4","1","3","2","3","9","33","12","1",
"Girona","away","win","[{""time"":26,""event"":""foul""},{""time"":26,""event"":""goal""},{""time"":37,""event"":""foul""},{""time"":39,""event"":""foul""},{""time"":57,""event"":""goal""},{""time"":69,""event"":""foul""},{""time"":70,""event"":""foul""}]","2.06","39%","6","3","2","3","2","1","3","9","18","10","5",
"Real Sociedad","home","loss","[{""time"":32,""event"":""foul""},{""time"":40,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":87,""event"":""foul""}]","0.62","56%","9","3","11","3","4","2","2","15","24","13","2",
"Real Madrid","away","win","[{""time"":15,""event"":""foul""},{""time"":29,""event"":""goal""},{""time"":56,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":88,""event"":""foul""}]","0.41","44%","5","3","3","4","0","2","4","14","20","11","3",
"Sevilla","home","win","[{""time"":61,""event"":""goal""},{""time"":75,""event"":""goal""},{""time"":81,""event"":""foul""}]","1.09","54%","11","4","4","0","6","1","1","13","16","10","5",
"Mallorca","away","loss","[{""time"":21,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":95,""event"":""goal""}]","0.72","46%","8","6","4","2","0","2","5","11","19","8","2",
