"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Red Cards"
"Freiburg","away","loss","[{""time"":19,""event"":""goal""},{""time"":37,""event"":""foul""},{""time"":79,""event"":""foul""}]","1.07","38%","5","1","2","1","4","3","15","13","11","7",
"Dortmund","home","loss","[{""time"":21,""event"":""goal""},{""time"":25,""event"":""goal""},{""time"":45,""event"":""foul""},{""time"":94,""event"":""foul""}]","2.73","65%","19","7","10","2","12","0","10","25","7","2",
"Hoffenheim","away","win","[{""time"":2,""event"":""goal""},{""time"":24,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":61,""event"":""goal""},{""time"":64,""event"":""goal""},{""time"":93,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.16","35%","7","5","3","3","2","1","9","15","10","5",
"Eintracht Frankfurt","home","draw","[{""time"":14,""event"":""goal""},{""time"":41,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":92,""event"":""goal""}]","1.44","56%","12","5","5","2","7","5","9","24","9","6",
"Wolfsburg","away","draw","[{""time"":2,""event"":""goal""},{""time"":36,""event"":""goal""},{""time"":40,""event"":""foul""}]","1.33","44%","14","8","3","1","6","2","14","19","7","3",
"Bayern Munich","home","win","[{""time"":38,""event"":""foul""},{""time"":56,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":91,""event"":""goal""}]","1.65","56%","15","4","6","3","11","3","10","15","11","4",
"RB Leipzig","away","loss","[{""time"":41,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":70,""event"":""goal""},{""time"":78,""event"":""foul""}]","1.09","44%","11","5","4","3","6","0","14","13","10","2",
"B. Monchengladbach","home","win","[{""time"":28,""event"":""goal""},{""time"":35,""event"":""goal""},{""time"":45,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":72,""event"":""goal""},{""time"":78,""event"":""goal""},{""time"":96,""event"":""goal""}]","3.27","50%","22","6","5","2","16","3","11","14","13","3",
"Bochum","away","loss","[{""time"":4,""event"":""foul""},{""time"":30,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":75,""event"":""goal""},{""time"":88,""event"":""goal""}]","1.51","50%","15","5","6","4","10","1","15","29","13","1",
"Stuttgart","home","draw","[{""time"":42,""event"":""foul""},{""time"":53,""event"":""goal""}]","1.68","67%","13","5","9","1","8","0","14","20","11","5",
"FC Koln","away","draw","[{""time"":62,""event"":""goal""}]","1.27","33%","12","6","4","0","6","1","11","22","13","4",
"Union Berlin","home","draw","[{""time"":44,""event"":""goal""},{""time"":45,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":53,""event"":""foul""}]","0.99","57%","12","3","4","2","9","4","12","30","9","2",
"Heidenheim","away","draw","[{""time"":3,""event"":""goal""},{""time"":71,""event"":""goal""},{""time"":87,""event"":""foul""}]","1.28","43%","9","4","2","1","5","0","11","26","12","1",
"Werder Bremen","home","draw","[{""time"":8,""event"":""goal""},{""time"":20,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":38,""event"":""foul""}]","1.92","54%","13","4","4","3","9","5","15","16","10","2",
"Darmstadt","away","draw","[{""time"":33,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":89,""event"":""foul""},{""time"":97,""event"":""foul""}]","1.03","46%","11","3","6","4","8","2","15","27","13","4",
