"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Red Cards"
"Bayern Munich","home","win","[{""time"":12,""event"":""goal""},{""time"":17,""event"":""foul""},{""time"":25,""event"":""goal""},{""time"":44,""event"":""foul""},{""time"":85,""event"":""goal""}]","2.50","68%","21","5","7","1","16","3","9","8","7","0",
"Freiburg","away","loss","[]","0.08","32%","2","0","1","0","2","3","10","14","8","2",
"Werder Bremen","home","loss","[{""time"":17,""event"":""goal""},{""time"":32,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":91,""event"":""goal""},{""time"":92,""event"":""foul""}]","0.94","49%","13","3","4","5","10","2","7","15","15","1",
"Hoffenheim","away","win","[{""time"":8,""event"":""goal""},{""time"":29,""event"":""goal""},{""time"":69,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":90,""event"":""foul""},{""time"":92,""event"":""goal""},{""time"":95,""event"":""foul""}]","1.79","51%","11","4","4","4","7","4","14","10","6","1",
"Augsburg","home","loss","[{""time"":35,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":86,""event"":""goal""},{""time"":94,""event"":""foul""}]",,"49%","17","3","4","4","14","6","13","23","13","3",
"Darmstadt","away","win","[{""time"":38,""event"":""foul""},{""time"":52,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":70,""event"":""goal""}]",,"51%","17","5","4","2","12","1","18","12","12","2",
"Dortmund","home","win","[{""time"":7,""event"":""goal""},{""time"":27,""event"":""foul""},{""time"":31,""event"":""foul""},{""time"":49,""event"":""goal""},{""time"":54,""event"":""goal""},{""time"":71,""event"":""goal""}]",,"66%","12","7","4","1","5","1","20","17","7","3",
"Union Berlin","away","loss","[{""time"":9,""event"":""goal""},{""time"":18,""event"":""foul""},{""time"":31,""event"":""goal""},{""time"":64,""event"":""foul""}]",,"34%","12","5","6","1","7","5","7","19","15","3",
"RB Leipzig","home","draw","[{""time"":27,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":69,""event"":""foul""}]",,"66%","18","5","9","2","13","1","14","21","10","2",
"Bochum","away","draw","[{""time"":42,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":87,""event"":""foul""}]",,"34%","9","2","1","4","7","3","14","18","13","5",
"Stuttgart","home","win","[{""time"":67,""event"":""goal""},{""time"":78,""event"":""goal""},{""time"":82,""event"":""goal""},{""time"":94,""event"":""foul""}]",,"57%","13","7","5","1","6","5","13","18","13","4",
"Wolfsburg","away","loss","[{""time"":5,""event"":""foul""},{""time"":34,""event"":""goal""},{""time"":42,""event"":""foul""},{""time"":73,""event"":""foul""}]",,"43%","12","5","6","3","7","0","19","15","14","4",
"B. Monchengladbach","home","draw","[{""time"":22,""event"":""goal""},{""time"":56,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":88,""event"":""goal""}]","2.24","58%","20","9","10","3","11","1","10","25","9","5",
"Mainz","away","draw","[{""time"":24,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":75,""event"":""goal""}]","1.06","42%","13","7","3","1","6","1","10","20","9","7",
"Freiburg","home","win","[{""time"":5,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":56,""event"":""goal""},{""time"":75,""event"":""foul""}]","1.09","54%","7","3","2","2","4","0","19","24","13","4",
"Augsburg","away","loss","[{""time"":60,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":84,""event"":""foul""}]","1.58","46%","13","4","3","2","9","2","13","25","17","1",
"Darmstadt","home","win","[{""time"":5,""event"":""goal""},{""time"":25,""event"":""goal""},{""time"":40,""event"":""foul""},{""time"":50,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":62,""event"":""goal""},{""time"":94,""event"":""foul""}]","2.31","44%","14","5","2","3","9","2","23","17","19","4",
"Werder Bremen","away","loss","[{""time"":31,""event"":""foul""},{""time"":70,""event"":""goal""},{""time"":78,""event"":""goal""},{""time"":93,""event"":""foul""}]","1.76","56%","9","6","4","2","3","5","22","23","19","1",
"RB Leipzig","home","draw","[{""time"":20,""event"":""goal""},{""time"":26,""event"":""goal""},{""time"":54,""event"":""foul""},{""time"":64,""event"":""foul""}]","0.94","37%","7","2","5","2","5","1","13","18","10","3",
"Bayern Munich","away","draw","[{""time"":38,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":57,""event"":""goal""},{""time"":70,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":81,""event"":""foul""}]","1.85","63%","11","5","1","5","6","1","7","22","11","0",
"Bochum","home","loss","[{""time"":52,""event"":""foul""},{""time"":68,""event"":""goal""},{""time"":95,""event"":""foul""},{""time"":100,""event"":""foul""}]","1.95","57%","23","5","5","2","18","2","14","22","12","6",
"B. Monchengladbach","away","win","[{""time"":27,""event"":""goal""},{""time"":37,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":81,""event"":""foul""},{""time"":100,""event"":""foul""}]","2.62","43%","25","9","10","3","16","3","14","15","12","4",
"FC Koln","home","loss","[{""time"":26,""event"":""foul""},{""time"":55,""event"":""foul""}]","1.38","40%","14","5","8","2","9","2","8","23","16","2",
"Stuttgart","away","win","[{""time"":68,""event"":""goal""},{""time"":79,""event"":""foul""},{""time"":88,""event"":""goal""}]","2.61","60%","18","4","4","1","14","1","16","23","8","5",
"Heidenheim","home","win","[{""time"":48,""event"":""foul""},{""time"":59,""event"":""goal""}]","0.51","48%","9","4","5","1","5","1","16","25","11","8",
"Union Berlin","away","loss","[{""time"":40,""event"":""foul""},{""time"":77,""event"":""foul""}]","2.43","52%","19","8","7","2","11","1","12","12","14","3",
"Mainz","home","loss","[{""time"":58,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":92,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.69","44%","10","3","3","4","7","3","12","22","13","1",
"Bayer Leverkusen","away","win","[{""time"":4,""event"":""foul""},{""time"":18,""event"":""goal""},{""time"":59,""event"":""goal""},{""time"":65,""event"":""goal""}]","0.88","56%","6","3","1","1","3","1","14","15","11","3",
"Wolfsburg","home","win","[{""time"":31,""event"":""goal""},{""time"":73,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":84,""event"":""goal""}]","3.84","55%","19","7","7","1","12","4","20","22","11","3","0"
"Eintracht Frankfurt","away","loss","[{""time"":5,""event"":""foul""},{""time"":42,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":89,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.29","45%","7","3","4","6","4","3","15","18","18","5","1"
"Hoffenheim","home","loss","[{""time"":25,""event"":""goal""},{""time"":44,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":85,""event"":""foul""}]","2.10","50%","15","5","4","3","10","0","17","25","14","2","0"
"Dortmund","away","win","[{""time"":18,""event"":""goal""},{""time"":23,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":60,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":95,""event"":""goal""}]","1.85","50%","6","5","3","4","1","2","14","16","16","4","1"
"Eintracht Frankfurt","home","draw","[{""time"":47,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":86,""event"":""foul""}]","0.95","55%","13","5","7","4","8","0","8","23","12","2",
"Freiburg","away","draw","[{""time"":33,""event"":""foul""},{""time"":86,""event"":""foul""}]","0.60","45%","9","2","3","2","7","4","10","22","5","5",
"Bayer Leverkusen","home","win","[{""time"":9,""event"":""goal""},{""time"":31,""event"":""foul""},{""time"":63,""event"":""goal""},{""time"":74,""event"":""goal""},{""time"":82,""event"":""goal""}]","3.48","67%","20","10","7","1","10","2","7","16","9","0",
"Heidenheim","away","loss","[{""time"":37,""event"":""foul""},{""time"":58,""event"":""goal""}]","0.10","33%","1","1","2","1","0","0","8","20","10","6",
"Werder Bremen","home","win","[{""time"":38,""event"":""goal""},{""time"":67,""event"":""goal""},{""time"":79,""event"":""foul""},{""time"":88,""event"":""foul""}]","1.87","46%","17","6","9","2","11","0","16","19","18","4",
"FC Koln","away","loss","[{""time"":31,""event"":""goal""},{""time"":73,""event"":""foul""}]","1.62","54%","13","5","8","1","8","2","17","24","16","4",
"Augsburg","home","win","[{""time"":15,""event"":""goal""},{""time"":45,""event"":""goal""},{""time"":62,""event"":""foul""},{""time"":91,""event"":""foul""}]","1.19","45%","6","3","3","2","3","1","18","13","16","2","1"
"Mainz","away","loss","[{""time"":6,""event"":""goal""},{""time"":11,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":97,""event"":""foul""}]","0.72","55%","13","3","4","3","10","2","18","24","14","1","0"
"B. Monchengladbach","home","loss","[{""time"":65,""event"":""foul""}]","0.83","47%","13","1","11","1","12","2","9","18","14","3",
"RB Leipzig","away","win","[{""time"":24,""event"":""foul""},{""time"":75,""event"":""goal""}]","0.92","53%","8","4","6","1","4","2","16","18","7","1",
"Bayern Munich","home","win","[{""time"":4,""event"":""goal""},{""time"":13,""event"":""goal""},{""time"":29,""event"":""goal""},{""time"":38,""event"":""goal""},{""time"":54,""event"":""goal""},{""time"":81,""event"":""goal""},{""time"":88,""event"":""goal""}]","5.22","60%","26","16","8","0","10","2","9",,"8","1",
"Bochum","away","loss","[{""time"":26,""event"":""foul""}]","0.14","40%","4","1","1","1","3","2","9",,"10","9",
"Dortmund","home","win","[{""time"":68,""event"":""goal""}]","1.75","61%","18","4","5","0","14","2","14","13","9","2",
"Wolfsburg","away","loss","[{""time"":24,""event"":""foul""}]","0.47","39%","8","2","3","1","6","2","6","23","14","3",
"Union Berlin","home","loss","[{""time"":72,""event"":""foul""}]","1.89","55%","22","6","11","1","16","0","15","36","11","2",
"Hoffenheim","away","win","[{""time"":22,""event"":""goal""},{""time"":38,""event"":""goal""},{""time"":49,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":89,""event"":""foul""}]","2.19","45%","11","4","6","3","7","1","11","18","13","6",
"Stuttgart","home","win","[{""time"":22,""event"":""goal""},{""time"":32,""event"":""goal""},{""time"":63,""event"":""foul""},{""time"":89,""event"":""foul""},{""time"":92,""event"":""goal""}]","2.54","54%","18","11","5","1","7","1","12","18","7","0",
"Darmstadt","away","loss","[{""time"":8,""event"":""foul""},{""time"":17,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":86,""event"":""foul""}]","0.15","46%","3","0","4","6","3","2","8","10","12","8",
"Darmstadt","home","draw","[{""time"":8,""event"":""goal""},{""time"":10,""event"":""goal""},{""time"":33,""event"":""goal""},{""time"":49,""event"":""foul""},{""time"":64,""event"":""foul""}]","1.35","41%","15","8","6","1","7","4","9","15","12","7","1"
"B. Monchengladbach","away","draw","[{""time"":3,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":56,""event"":""goal""},{""time"":73,""event"":""goal""},{""time"":77,""event"":""goal""}]","3.69","59%","21","10","6","1","11","1","15","18","8","5","0"
"Heidenheim","home","win","[{""time"":5,""event"":""goal""},{""time"":44,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":68,""event"":""goal""},{""time"":76,""event"":""goal""}]","2.17","48%","19","4","10","1","15","1","11","10","21","2",
"Werder Bremen","away","loss","[{""time"":49,""event"":""foul""},{""time"":49,""event"":""goal""},{""time"":64,""event"":""goal""},{""time"":95,""event"":""foul""}]","2.74","52%","11","4","1","1","7","2","25","7","9","0",
"Bochum","home","draw","[{""time"":70,""event"":""foul""},{""time"":74,""event"":""goal""},{""time"":80,""event"":""foul""},{""time"":94,""event"":""foul""}]","2.00","49%","24","10","8","3","14","0","14","23","13","5",
"Eintracht Frankfurt","away","draw","[{""time"":55,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":76,""event"":""foul""}]","0.98","51%","8","6","2","2","2","1","16","22","14","9",
"FC Koln","home","loss","[{""time"":34,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":61,""event"":""goal""},{""time"":63,""event"":""foul""},{""time"":91,""event"":""foul""}]","0.86","54%","17","7","13","4","10","3","14","26","15","2","1"
"Hoffenheim","away","win","[{""time"":1,""event"":""goal""},{""time"":23,""event"":""foul""},{""time"":28,""event"":""goal""},{""time"":52,""event"":""goal""},{""time"":68,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":75,""event"":""foul""}]","1.06","46%","17","5","4","4","12","1","17","21","14","6","0"
"Freiburg","home","loss","[{""time"":47,""event"":""goal""},{""time"":51,""event"":""goal""},{""time"":82,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":89,""event"":""foul""}]","0.98","46%","14","4","6","2","10","3","18","17","12","2","1"
"Dortmund","away","win","[{""time"":11,""event"":""goal""},{""time"":49,""event"":""foul""},{""time"":60,""event"":""goal""},{""time"":68,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":88,""event"":""goal""},{""time"":93,""event"":""goal""}]","1.86","54%","14","6","8","3","8","2","14","11","16","2","0"
"Mainz","home","loss","[{""time"":11,""event"":""foul""},{""time"":69,""event"":""goal""}]","1.35","43%","15","3","6","1","12","1","10","26","12","3",
"Stuttgart","away","win","[{""time"":56,""event"":""goal""},{""time"":60,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":84,""event"":""goal""},{""time"":97,""event"":""goal""}]","2.16","57%","16","6","4","2","10","1","12","26","9","2",
"RB Leipzig","home","win","[{""time"":6,""event"":""goal""},{""time"":11,""event"":""goal""},{""time"":27,""event"":""goal""}]","0.81","54%","9","6","1",,"3","2","13","14","16","4",
"Augsburg","away","loss","[]","2.71","46%","16","4","6",,"12","1","18","18","12","3",
"Wolfsburg","home","win","[{""time"":12,""event"":""goal""},{""time"":30,""event"":""goal""},{""time"":78,""event"":""foul""}]","0.53","44%","8","3","3","1","5","3","6","19","6","4",
"Union Berlin","away","loss","[{""time"":28,""event"":""goal""}]","2.11","56%","17","5","7","0","12","1","9","15","8","1",
"Bayern Munich","home","draw","[{""time"":7,""event"":""goal""},{""time"":25,""event"":""foul""},{""time"":86,""event"":""goal""}]","2.62","53%","15","9","7","0","6","2","9","12","6","3",
"Bayer Leverkusen","away","draw","[{""time"":24,""event"":""goal""},{""time"":34,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":94,""event"":""goal""}]","1.83","47%","13","5","4","3","8","3","7","18","6","7",
"Union Berlin","home","loss","[{""time"":27,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":81,""event"":""foul""}]","0.31","36%","4","1","3","3","3","1","11","24","16","4","1"
"RB Leipzig","away","win","[{""time"":26,""event"":""foul""},{""time"":51,""event"":""goal""},{""time"":85,""event"":""goal""},{""time"":87,""event"":""goal""}]","0.88","64%","14","7","7","1","7","2","16","20","9","1","0"
"Eintracht Frankfurt","home","draw","[{""time"":64,""event"":""foul""},{""time"":87,""event"":""goal""}]","1.29","60%","13","3","8","1","10","2","10","27","10","1",
"FC Koln","away","draw","[{""time"":43,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":70,""event"":""foul""}]","0.92","40%","6","2","1","3","4","0","12","17","10","2",
"B. Monchengladbach","home","loss","[{""time"":30,""event"":""goal""}]","0.45","38%","8","3","1","0","5","0","21","9","5","7",
"Bayern Munich","away","win","[{""time"":22,""event"":""foul""},{""time"":58,""event"":""goal""},{""time"":60,""event"":""foul""},{""time"":87,""event"":""goal""}]","2.21","62%","25","9","15","2","16","1","5","21","20","2",
"Augsburg","home","draw","[{""time"":35,""event"":""goal""},{""time"":38,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":62,""event"":""goal""}]","2.63","42%","11","3","3","2","8","1","16","24","15","7",
"Bochum","away","draw","[{""time"":48,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":64,""event"":""goal""}]","1.49","58%","22","9","5","2","13","3","16","22","13","1",
"Bayer Leverkusen","home","win","[{""time"":21,""event"":""goal""},{""time"":24,""event"":""foul""},{""time"":27,""event"":""foul""},{""time"":31,""event"":""foul""},{""time"":49,""event"":""goal""},{""time"":61,""event"":""goal""},{""time"":67,""event"":""goal""},{""time"":83,""event"":""goal""}]","3.48","67%","24","13","4","3","11","1","12","16","8","0",
"Darmstadt","away","loss","[{""time"":25,""event"":""goal""},{""time"":53,""event"":""foul""},{""time"":80,""event"":""foul""}]","0.95","33%","5","1","2","2","4","1","9","12","11","8",
"Hoffenheim","home","win","[{""time"":10,""event"":""foul""},{""time"":25,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":60,""event"":""goal""},{""time"":74,""event"":""goal""}]","1.97","43%","11","5","3","2","6","4","17","13","12","6",
"Wolfsburg","away","loss","[{""time"":36,""event"":""goal""},{""time"":43,""event"":""foul""},{""time"":75,""event"":""foul""}]","1.72","57%","14","7","3","2","7","0","13","18","15","2",
"Stuttgart","home","win","[{""time"":8,""event"":""goal""},{""time"":17,""event"":""goal""},{""time"":19,""event"":""goal""},{""time"":38,""event"":""foul""},{""time"":62,""event"":""goal""},{""time"":75,""event"":""goal""}]","2.56","50%","13","6","2","1","7","1","8","14","9","5",
"Freiburg","away","loss","[{""time"":86,""event"":""foul""}]","1.14","50%","11","5","4","1","6","1","6","14","10","1",
"Werder Bremen","home","win","[{""time"":3,""event"":""goal""},{""time"":10,""event"":""foul""},{""time"":53,""event"":""goal""},{""time"":55,""event"":""foul""},{""time"":82,""event"":""goal""},{""time"":83,""event"":""goal""}]","3.19","48%","12","6","1","2","6","1","16","19","18","3",
"Mainz","away","loss","[{""time"":2,""event"":""foul""},{""time"":65,""event"":""foul""}]","0.97","52%","12","3","7","2","9","4","15","31","14","2",
"Dortmund","home","draw","[{""time"":7,""event"":""goal""},{""time"":15,""event"":""goal""},{""time"":61,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":93,""event"":""foul""}]","2.92","63%","20","9","3","3","11","2","25","17","9","4",
"Heidenheim","away","draw","[{""time"":35,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":61,""event"":""goal""},{""time"":61,""event"":""foul""},{""time"":82,""event"":""goal""}]","2.72","37%","15","6","6","3","9","3","10","22","22","7",
"Bayern Munich","home","win","[{""time"":32,""event"":""goal""},{""time"":40,""event"":""goal""},{""time"":69,""event"":""goal""},{""time"":83,""event"":""foul""}]","2.83","58%","19","6","10","1","13","1","5","15","13","1",
"Augsburg","away","loss","[{""time"":56,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":86,""event"":""goal""}]","0.92","42%","11","2","4","2","9","2","9","12","8","3",
"Mainz","home","draw","[{""time"":25,""event"":""goal""},{""time"":55,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":96,""event"":""foul""}]","1.36","43%","13","7","5","3","6","2","12","11","23","1","0"
"Eintracht Frankfurt","away","draw","[{""time"":32,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":91,""event"":""goal""},{""time"":92,""event"":""foul""}]","1.61","57%","8","2","4","4","6","0","25","26","12","6","1"
"B. Monchengladbach","home","loss","[{""time"":48,""event"":""foul""},{""time"":50,""event"":""foul""}]","0.72","43%","13","2","5","2","11","1","10","6","7","7",
"Bayer Leverkusen","away","win","[{""time"":16,""event"":""foul""},{""time"":18,""event"":""goal""},{""time"":48,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":51,""event"":""goal""},{""time"":53,""event"":""goal""}]","3.09","57%","24","10","8","3","14","2","7","13","8","2",
"Bochum","home","draw","[{""time"":13,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":71,""event"":""foul""}]","0.99","41%","17","6","5","2","11","6","7","24","21","2",
"Dortmund","away","draw","[{""time"":56,""event"":""goal""},{""time"":75,""event"":""foul""}]","1.51","59%","13","3","4","1","10","0","28","28","7","5",
"Darmstadt","home","loss","[{""time"":24,""event"":""goal""},{""time"":34,""event"":""foul""},{""time"":44,""event"":""foul""}]","2.49","67%","18","6","3","2","12","0","11","23","15","2","0"
"Union Berlin","away","win","[{""time"":4,""event"":""goal""},{""time"":5,""event"":""foul""},{""time"":21,""event"":""foul""},{""time"":34,""event"":""goal""},{""time"":39,""event"":""goal""},{""time"":65,""event"":""goal""}]","1.89","33%","12","6","5","2","6","0","16","19","12","5","1"
"FC Koln","home","loss","[{""time"":49,""event"":""foul""},{""time"":55,""event"":""goal""}]","0.99","52%","14","2","6","1","12","6","10","35","6","4",
"Wolfsburg","away","win","[{""time"":58,""event"":""foul""},{""time"":62,""event"":""goal""},{""time"":72,""event"":""goal""},{""time"":79,""event"":""foul""},{""time"":89,""event"":""foul""},{""time"":90,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.72","48%","9","6","1","5","3","0","12","28","10","1",
"Freiburg","home","win","[{""time"":38,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":96,""event"":""goal""}]","2.62","52%","23","6","5","2","17","3","10","21","9","2",
"Werder Bremen","away","loss","[{""time"":6,""event"":""foul""},{""time"":55,""event"":""foul""}]","1.16","48%","16","2","5","2","14","2","12","16","8","5",
"Heidenheim","home","loss","[{""time"":16,""event"":""foul""},{""time"":26,""event"":""goal""},{""time"":38,""event"":""foul""},{""time"":58,""event"":""goal""}]","2.49","39%","19","9","10","1","10","0","8","29","13","3",
"Hoffenheim","away","win","[{""time"":25,""event"":""foul""},{""time"":40,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":77,""event"":""goal""},{""time"":81,""event"":""goal""},{""time"":82,""event"":""foul""},{""time"":90,""event"":""goal""},{""time"":95,""event"":""foul""}]","3.31","61%","16","6","6","5","10","1","10","22","9","7",
"RB Leipzig","home","win","[{""time"":52,""event"":""foul""},{""time"":51,""event"":""goal""},{""time"":53,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":63,""event"":""goal""},{""time"":66,""event"":""goal""},{""time"":74,""event"":""goal""},{""time"":76,""event"":""goal""}]","2.69","54%","20","11","4","1","9","4","15","20","12","2",
"Stuttgart","away","loss","[{""time"":35,""event"":""goal""},{""time"":65,""event"":""foul""}]","1.02","46%","8","3","4","1","5","1","17","10","10","6",
"Eintracht Frankfurt","home","win","[{""time"":40,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":96,""event"":""foul""}]","1.69","59%","10","4","7","2","6","0","16","24","9","2",
"Darmstadt","away","loss","[{""time"":37,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":74,""event"":""foul""}]","1.04","41%","11","2","3","3","9","2","9","13","14","3",
"Union Berlin","home","win","[{""time"":1,""event"":""goal""},{""time"":9,""event"":""goal""},{""time"":10,""event"":""foul""},{""time"":70,""event"":""goal""},{""time"":96,""event"":""goal""}]","1.88","49%","12","7","3","1","5","1","16","25","15","2",
"Mainz","away","loss","[{""time"":31,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":80,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":92,""event"":""foul""}]","2.48","51%","9","3","1","5","6","0","11","18","16","3",
"Dortmund","home","win","[{""time"":88,""event"":""goal""},{""time"":92,""event"":""foul""}]","1.28","65%","12","2","6","1","10","1","11","19","13","4",
"FC Koln","away","loss","[]","1.01","35%","11","4","3","0","7","2","12","23","11","1",
"Augsburg","home","loss","[{""time"":23,""event"":""foul""},{""time"":29,""event"":""goal""},{""time"":41,""event"":""goal""},{""time"":52,""event"":""goal""},{""time"":76,""event"":""foul""}]","2.39","53%","20","8","8","1","12","4","11","10","9","2",
"B. Monchengladbach","away","win","[{""time"":13,""event"":""goal""},{""time"":27,""event"":""goal""},{""time"":32,""event"":""foul""},{""time"":37,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":97,""event"":""goal""}]","1.95","47%","9","6","7","2","3","1","9","6","14","4",
"Bayer Leverkusen","home","win","[{""time"":24,""event"":""goal""},{""time"":35,""event"":""goal""},{""time"":64,""event"":""goal""},{""time"":69,""event"":""foul""}]","1.39","46%","11","7","4","1","4","2","4","7","13","4",
"RB Leipzig","away","loss","[{""time"":39,""event"":""goal""},{""time"":62,""event"":""foul""},{""time"":71,""event"":""goal""},{""time"":81,""event"":""foul""}]","1.57","54%","13","6","5","2","7","0","10","18","10","4",
"Hoffenheim","home","loss","[{""time"":50,""event"":""goal""}]","2.08","51%","24","5","4","0","19","3","4","11","9","6",
"Freiburg","away","win","[{""time"":15,""event"":""foul""},{""time"":39,""event"":""goal""},{""time"":48,""event"":""goal""}]","2.49","49%","17","8","2","1","9","0","4","8","9","4",
"Stuttgart","home","win","[{""time"":18,""event"":""goal""},{""time"":38,""event"":""goal""},{""time"":49,""event"":""foul""},{""time"":60,""event"":""goal""},{""time"":67,""event"":""goal""},{""time"":77,""event"":""goal""}]","3.33","55%","19","9","7","1","10","2","15","12","5","1",
"Bochum","away","loss","[{""time"":46,""event"":""foul""}]","0.63","45%","4","1","0","1","3","2","7","12","12","4",
"Wolfsburg","home","win","[{""time"":6,""event"":""goal""},{""time"":27,""event"":""goal""},{""time"":36,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":92,""event"":""foul""}]","3.24","51%","18","8","1","3","10","2","3","11","10","1",
"Heidenheim","away","loss","[]","1.29","49%","13","1","7","0","12","0","9","15","9","6",
"Werder Bremen","home","loss","[{""time"":8,""event"":""foul""},{""time"":20,""event"":""foul""},{""time"":56,""event"":""foul""}]","0.57","32%","6","1","0","2","5","3","11","9","16","6",
"Bayern Munich","away","win","[{""time"":4,""event"":""goal""},{""time"":55,""event"":""foul""},{""time"":74,""event"":""goal""},{""time"":90,""event"":""goal""},{""time"":94,""event"":""goal""}]","2.62","68%","25","10","6","1","15","0","20","21","11","1",
