"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Blocked Shots","Red Cards"
"Tottenham","home","win","[{""time"":9,""event"":""goal""},{""time"":32,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":71,""event"":""goal""},{""time"":80,""event"":""goal""},{""time"":87,""event"":""foul""},{""time"":93,""event"":""foul""},{""time"":93,""event"":""foul""}]","2.20","51%","12","6","4","3","6","4","21","14","9","3",,
"Bournemouth","away","loss","[{""time"":25,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":84,""event"":""goal""},{""time"":101,""event"":""foul""}]","1.64","49%","24","4","13","2","20","3","13","16","18","3",,
"Nottingham","home","win","[{""time"":56,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":82,""event"":""goal""},{""time"":88,""event"":""foul""}]","0.92","46%","8","2","4","2","6","1","13","9","9","4",,
"Manchester Utd","away","loss","[{""time"":57,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":78,""event"":""goal""},{""time"":85,""event"":""foul""},{""time"":99,""event"":""foul""}]","0.72","54%","10","5","5","4","5","2","10","32","11","0",,
"Aston Villa","home","win","[{""time"":18,""event"":""foul""},{""time"":28,""event"":""goal""},{""time"":42,""event"":""goal""},{""time"":88,""event"":""foul""},{""time"":89,""event"":""goal""},{""time"":96,""event"":""foul""},{""time"":98,""event"":""foul""}]","3.00","65%","14","7","6","4","7","1","13","12","9","3",,"0"
"Burnley","away","loss","[{""time"":17,""event"":""foul""},{""time"":23,""event"":""foul""},{""time"":30,""event"":""goal""},{""time"":42,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":71,""event"":""goal""}]","0.98","35%","8","5","2","3","3","6","8","15","14","4",,"1"
"Crystal Palace","home","win","[{""time"":14,""event"":""goal""},{""time"":39,""event"":""goal""},{""time"":58,""event"":""goal""}]","1.00","48%","13","6","7","0","7","1","10","20","14","3",,
"Brentford","away","loss","[{""time"":2,""event"":""goal""},{""time"":47,""event"":""foul""}]","1.40","52%","9","4","4","1","5","1","14","20","10","3",,
"Manchester City","home","win","[{""time"":14,""event"":""goal""},{""time"":43,""event"":""foul""},{""time"":61,""event"":""goal""}]","2.26","82%","18","4","12","1","14","1","9","9","5","2",,
"Sheffield Utd","away","loss","[{""time"":89,""event"":""foul""}]","0.33","18%","4","2","2","1","2","2","6","12","6","2",,
"Wolves","home","win","[{""time"":25,""event"":""goal""},{""time"":43,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":53,""event"":""goal""},{""time"":61,""event"":""goal""}]","2.23","53%","12","6","5","2","6","3","15","14","9","0",,
"Everton","away","loss","[{""time"":23,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":89,""event"":""foul""}]","0.52","47%","10","0","2","3","10","1","11","19","14","3",,
"Luton","home","loss","[{""time"":27,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":80,""event"":""goal""},{""time"":87,""event"":""goal""}]","2.81","51%","15","6","7","2","9","5","22","25","14","5",,
"Chelsea","away","win","[{""time"":12,""event"":""goal""},{""time"":37,""event"":""goal""},{""time"":70,""event"":""goal""},{""time"":87,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.57","49%","12","8","2","2","4","1","20","13","21","4",,
"Arsenal","home","loss","[{""time"":72,""event"":""foul""},{""time"":91,""event"":""foul""}]","2.87","74%","30","8","10","2","22","0","9","8","8","1",,
"West Ham","away","win","[{""time"":13,""event"":""goal""},{""time"":33,""event"":""foul""},{""time"":55,""event"":""goal""},{""time"":96,""event"":""foul""}]","1.51","26%","6","3","3","0","3","1","8","16","8","8",,
"Brighton","home","win","[{""time"":11,""event"":""goal""},{""time"":23,""event"":""goal""},{""time"":43,""event"":""foul""},{""time"":63,""event"":""goal""},{""time"":70,""event"":""foul""},{""time"":75,""event"":""goal""},{""time"":82,""event"":""foul""}]","3.62","46%","15","9","7","3","6","2","11","14","18","1",,
"Tottenham","away","loss","[{""time"":23,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":81,""event"":""goal""},{""time"":85,""event"":""goal""}]","2.15","54%","19","3","6","2","16","5","20","22","6","5",,
"Everton","home","loss","[{""time"":29,""event"":""goal""},{""time"":39,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":78,""event"":""foul""}]","1.03","28%","7","2","4","4","5","1","6","11","13","6",,
"Manchester City","away","win","[{""time"":43,""event"":""foul""},{""time"":53,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":81,""event"":""foul""},{""time"":86,""event"":""goal""}]","2.80","72%","23","9","8","2","14","1","14","17","5","1",,
"Brentford","home","loss","[{""time"":16,""event"":""goal""},{""time"":43,""event"":""foul""}]","2.32","60%","14","4","8","1","10","1","17","17","5","1",,
"Wolves","away","win","[{""time"":13,""event"":""goal""},{""time"":14,""event"":""goal""},{""time"":28,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":79,""event"":""goal""}]","1.80","40%","11","5","2","1","6","3","6","10","14","3",,
"Chelsea","home","win","[{""time"":13,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":89,""event"":""goal""},{""time"":95,""event"":""foul""}]","2.59","64%","9","4","4","3","5","3","22","17","13","4",,
"Crystal Palace","away","loss","[{""time"":46,""event"":""goal""},{""time"":73,""event"":""foul""},{""time"":80,""event"":""foul""}]","0.99","36%","13","5","3","2","8","6","16","17","16","2",,
"Manchester Utd","home","win","[{""time"":48,""event"":""foul""},{""time"":59,""event"":""goal""},{""time"":71,""event"":""goal""},{""time"":73,""event"":""foul""},{""time"":82,""event"":""goal""}]","1.02","46%","13","7","3","1","6","9","10","15","10","2",,
"Aston Villa","away","loss","[{""time"":21,""event"":""goal""},{""time"":26,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":87,""event"":""foul""}]","1.73","54%","10","4","6","3","6","0","19","24","10","4",,
"Burnley","home","loss","[{""time"":22,""event"":""foul""},{""time"":91,""event"":""foul""}]","0.72","31%","9","0","4","2","9","1","14","15","7","8",,
"Liverpool","away","win","[{""time"":6,""event"":""goal""},{""time"":55,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":90,""event"":""goal""}]","1.75","69%","19","10","4","1","9","4","8","21","10","0",,
"Bournemouth","home","win","[{""time"":44,""event"":""goal""},{""time"":62,""event"":""goal""},{""time"":93,""event"":""goal""}]","1.89","42%","16","4","6","0","12","3","10","19","10","3",,
"Fulham","away","loss","[{""time"":62,""event"":""foul""},{""time"":63,""event"":""foul""}]","0.25","58%","8","3","5","2","5","0","13","24","10","1",,
"Sheffield Utd","home","loss","[{""time"":14,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":61,""event"":""goal""},{""time"":69,""event"":""goal""},{""time"":77,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":94,""event"":""foul""}]","2.78","51%","21","6","9","5","15","1","13","22","13","1",,
"Luton","away","win","[{""time"":17,""event"":""goal""},{""time"":77,""event"":""goal""},{""time"":81,""event"":""goal""}]","0.58","49%","12","4","4","0","8","0","14","22","13","4",,
"Newcastle","home","loss","[{""time"":23,""event"":""goal""},{""time"":27,""event"":""foul""},{""time"":85,""event"":""foul""},{""time"":88,""event"":""foul""}]","2.77","62%","19","7","10","3","12","0","12","18","10","3",,
"Nottingham","away","win","[{""time"":26,""event"":""foul""},{""time"":27,""event"":""foul""},{""time"":46,""event"":""goal""},{""time"":53,""event"":""goal""},{""time"":60,""event"":""goal""},{""time"":84,""event"":""foul""}]","3.64","38%","15","6","2","3","9","1","10","18","11","6",,
"Wolves","home","win","[{""time"":27,""event"":""foul""},{""time"":51,""event"":""goal""},{""time"":64,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":93,""event"":""goal""},{""time"":100,""event"":""foul""}]","1.39","31%","14","6","10","3","8","3","9","16","11","4",,
"Chelsea","away","loss","[{""time"":30,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":96,""event"":""goal""},{""time"":99,""event"":""foul""},{""time"":101,""event"":""foul""}]","1.94","69%","16","5","6","6","11","0","14","17","9","4",,
"Liverpool","home","draw","[{""time"":29,""event"":""goal""},{""time"":35,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":84,""event"":""foul""}]","1.01","51%","13","3","4","2","10","1","15","25","13","1",,
"Arsenal","away","draw","[{""time"":4,""event"":""goal""},{""time"":38,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":90,""event"":""foul""}]","0.87","49%","13","2","5","5","11","1","14","17","14","2",,
"Fulham","home","loss","[{""time"":25,""event"":""foul""},{""time"":58,""event"":""foul""}]","1.23","66%","19","5","8","2","14","2","20","25","5","0",,
"Burnley","away","win","[{""time"":47,""event"":""goal""},{""time"":61,""event"":""foul""},{""time"":66,""event"":""goal""}]","0.47","34%","7","2","6","1","5","3","7","14","17","5",,
"Luton","home","win","[{""time"":25,""event"":""goal""},{""time"":56,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":89,""event"":""foul""}]","1.80","35%","16","5","5","2","11","0","9","14","11","2",,
"Newcastle","away","loss","[{""time"":37,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":94,""event"":""foul""},{""time"":98,""event"":""foul""}]","1.55","65%","15","2","7","2","13","3","10","19","5","4",,
"Nottingham","home","loss","[{""time"":5,""event"":""foul""},{""time"":23,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":74,""event"":""goal""}]","0.80","32%","11","5","6","2","6","0","10","17","10","4",,"1"
"Bournemouth","away","win","[{""time"":25,""event"":""foul""},{""time"":31,""event"":""foul""},{""time"":51,""event"":""goal""},{""time"":58,""event"":""goal""},{""time"":65,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":94,""event"":""goal""}]","1.70","68%","18","7","6","3","11","0","10","19","10","3",,"0"
"Tottenham","home","win","[{""time"":9,""event"":""goal""},{""time"":18,""event"":""goal""},{""time"":86,""event"":""foul""}]","1.25","60%","13","6","3","1","7","2","21","20","6","7",,
"Everton","away","loss","[{""time"":23,""event"":""foul""},{""time"":24,""event"":""foul""},{""time"":26,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":82,""event"":""goal""},{""time"":83,""event"":""foul""}]","1.86","40%","18","8","8","4","10","3","8","20","18","4",,
"West Ham","home","win","[{""time"":43,""event"":""foul""},{""time"":72,""event"":""goal""},{""time"":74,""event"":""foul""},{""time"":78,""event"":""goal""}]","1.35","35%","12","5","4","2","7","1","16","15","13","3",,
"Manchester Utd","away","loss","[{""time"":47,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":96,""event"":""foul""}]","0.92","65%","11","3","4","3","8","1","14","28","15","3",,
"Aston Villa","home","draw","[{""time"":49,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":95,""event"":""foul""},{""time"":97,""event"":""goal""},{""time"":100,""event"":""foul""}]","0.87","78%","11","4","9","3","7","0","20","19","11","1",,
"Sheffield Utd","away","draw","[{""time"":51,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":87,""event"":""goal""},{""time"":98,""event"":""foul""}]","0.52","22%","5","2","1","3","3","4","11","13","16","3",,
"Crystal Palace","home","draw","[{""time"":29,""event"":""foul""},{""time"":46,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":85,""event"":""foul""},{""time"":90,""event"":""foul""}]","1.20","34%","11","3","3","5","8","1","13","18","12","5",,
"Brighton","away","draw","[{""time"":31,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":82,""event"":""goal""}]","1.13","66%","18","6","1","2","12","2","13","12","11","2",,
"Liverpool","home","draw","[{""time"":21,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":61,""event"":""foul""}]","2.66","68%","34","8","12","2","26","4","10","35","13","1",,"0"
"Manchester Utd","away","draw","[{""time"":27,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":92,""event"":""foul""},{""time"":94,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.52","32%","6","1","0","6","5","2","17","19","8","8",,"1"
"Arsenal","home","win","[{""time"":38,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":53,""event"":""goal""},{""time"":87,""event"":""goal""}]","2.21","49%","26","9","10","1","17","1","10","13","11","1",,
"Brighton","away","loss","[{""time"":27,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":89,""event"":""foul""}]","0.72","51%","6","1","1","3","5","1","12","11","9","7",,
"Brentford","home","loss","[{""time"":45,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":90,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":98,""event"":""foul""}]","0.54","33%","4","3","7","6","1","7","6","15","19","3",,"1"
"Aston Villa","away","win","[{""time"":77,""event"":""goal""},{""time"":80,""event"":""foul""},{""time"":85,""event"":""goal""},{""time"":86,""event"":""foul""},{""time"":87,""event"":""foul""},{""time"":97,""event"":""foul""},{""time"":98,""event"":""foul""},{""time"":98,""event"":""foul""}]","1.31","67%","15","5","11","4","10","0","26","21","6","2",,"1"
"West Ham","home","win","[{""time"":23,""event"":""goal""},{""time"":32,""event"":""goal""},{""time"":49,""event"":""foul""},{""time"":74,""event"":""goal""},{""time"":87,""event"":""foul""},{""time"":93,""event"":""foul""}]","0.99","44%","13","4","6","3","9","1","17","21","12","3",,
"Wolves","away","loss","[{""time"":47,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":58,""event"":""foul""}]","0.61","56%","14","3","5","1","11","2","13","12","15","1",,
"Burnley","home","loss","[]","0.80","62%","14","2","8","0","12","0","12","20","9","4",,
"Everton","away","win","[{""time"":19,""event"":""goal""},{""time"":25,""event"":""goal""},{""time"":82,""event"":""foul""}]","1.29","38%","9","6","6","1","3","4","9","22","8","2",,
"Chelsea","home","win","[{""time"":52,""event"":""foul""},{""time"":54,""event"":""goal""},{""time"":61,""event"":""foul""}]","2.75","78%","15","6","7","1","9","3","15","20","9","1",,
"Sheffield Utd","away","loss","[{""time"":42,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":74,""event"":""foul""}]","0.35","22%","6","1","5","3","5","1","13","8","14","4",,
"Manchester City","home","draw","[{""time"":24,""event"":""goal""},{""time"":42,""event"":""foul""},{""time"":54,""event"":""goal""}]","1.57","74%","19","9","6","1","10","2","11","17","12","0",,
"Crystal Palace","away","draw","[{""time"":34,""event"":""foul""},{""time"":40,""event"":""foul""},{""time"":76,""event"":""goal""},{""time"":95,""event"":""goal""}]","1.98","26%","5","2","1","1","3","1","14","14","9","7",,
"Newcastle","home","win","[{""time"":14,""event"":""foul""},{""time"":36,""event"":""foul""},{""time"":57,""event"":""goal""},{""time"":64,""event"":""goal""},{""time"":82,""event"":""goal""}]","3.78","71%","27","10","5","0","17","2","12","14","7","4",,"0"
"Fulham","away","loss","[{""time"":22,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":81,""event"":""foul""}]","0.31","29%","6","4","1","2","2","0","9","13","12","7",,"1"
"Nottingham","home","loss","[{""time"":58,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":90,""event"":""foul""}]","1.47","33%","15","1","6","2","14","5","12","22","16","4",,"0"
"Tottenham","away","win","[{""time"":32,""event"":""foul""},{""time"":42,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":54,""event"":""foul""},{""time"":65,""event"":""goal""},{""time"":70,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":79,""event"":""foul""}]","1.31","67%","12","6","4","4","6","0","20","16","11","1",,"1"
"Tottenham","home","win","[{""time"":26,""event"":""goal""},{""time"":38,""event"":""goal""},{""time"":60,""event"":""goal""},{""time"":80,""event"":""foul""},{""time"":85,""event"":""goal""}]","3.99","57%","23","12","3","1","11","1","13","20","10","2",,
"Newcastle","away","loss","[{""time"":59,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":91,""event"":""goal""}]","1.52","43%","9","3","6","3","6","3","11","18","12","8",,
"Everton","home","win","[{""time"":15,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":92,""event"":""goal""}]","0.95","28%","9","5","4","2","4","2","11","16","12","4",,
"Chelsea","away","loss","[{""time"":19,""event"":""foul""},{""time"":27,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":84,""event"":""foul""}]","0.83","72%","16","4","8","2","12","1","11","11","12","3",,
"Fulham","home","win","[{""time"":22,""event"":""goal""},{""time"":31,""event"":""goal""},{""time"":40,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":60,""event"":""goal""},{""time"":75,""event"":""foul""},{""time"":89,""event"":""goal""}]","2.40","63%","14","8","3","2","6","0","10","18","5","5",,
"West Ham","away","loss","[{""time"":18,""event"":""foul""}]","1.50","37%","9","5","6","1","4","0","5","19","10","3",,
"Luton","home","loss","[{""time"":47,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":77,""event"":""foul""}]","0.36","34%","4","2","6","2","2","1","7","20","16","4",,
"Manchester City","away","win","[{""time"":62,""event"":""goal""},{""time"":65,""event"":""goal""},{""time"":73,""event"":""foul""}]","1.37","66%","18","6","3","1","12","1","17","31","6","1",,
"Aston Villa","home","win","[{""time"":7,""event"":""goal""},{""time"":53,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":88,""event"":""foul""}]","0.49","39%","10","3","3","4","7","1","15","19","16","5",,
"Arsenal","away","loss","[{""time"":28,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":90,""event"":""foul""}]","1.51","61%","12","5","3","2","7","4","17","12","11","2",,
"Brighton","home","draw","[{""time"":77,""event"":""goal""}]","2.52","72%","29","11","9","0","18","2","9","17","5","2",,
"Burnley","away","draw","[{""time"":14,""event"":""foul""},{""time"":45,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":86,""event"":""foul""}]","1.02","28%","6","3","1","4","3","1","7","12","8","10",,
"Manchester Utd","home","loss","[{""time"":30,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":84,""event"":""foul""}]","0.96","69%","20","3","10","3","17","1","12","21","7","1",,
"Bournemouth","away","win","[{""time"":5,""event"":""goal""},{""time"":27,""event"":""foul""},{""time"":68,""event"":""goal""},{""time"":73,""event"":""goal""},{""time"":92,""event"":""foul""}]","1.26","31%","10","4","4","1","6","2","8","18","10","3",,
"Sheffield Utd","home","win","[{""time"":17,""event"":""foul""},{""time"":46,""event"":""goal""},{""time"":51,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":92,""event"":""foul""}]","0.77","40%","9","4","3","5","5","1","14","26","14","4",,
"Brentford","away","loss","[{""time"":29,""event"":""foul""}]","0.72","60%","10","4","3","1","6","1","14","30","13","3",,
"Wolves","home","draw","[{""time"":32,""event"":""goal""},{""time"":61,""event"":""foul""}]","1.19","68%","10","4","4","0","6","3","13","30","9","1",,
"Nottingham","away","draw","[{""time"":14,""event"":""goal""},{""time"":32,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":78,""event"":""foul""}]","0.82","32%","8","2","3","1","6","1","12","21","11","3",,
"Crystal Palace","home","loss","[{""time"":37,""event"":""foul""},{""time"":57,""event"":""goal""},{""time"":60,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":87,""event"":""foul""},{""time"":98,""event"":""foul""},{""time"":102,""event"":""foul""}]","1.99","24%","8","4","6","7","4","0","23","11","17","0",,"1"
"Liverpool","away","win","[{""time"":76,""event"":""goal""},{""time"":91,""event"":""goal""},{""time"":94,""event"":""foul""},{""time"":99,""event"":""foul""},{""time"":100,""event"":""foul""}]","1.26","76%","14","2","5","2","12","6","17","22","17","3",,"0"
"Tottenham","home","loss","[{""time"":11,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":89,""event"":""foul""},{""time"":96,""event"":""foul""}]","1.59","75%","23","7","8","3","16","1","19","15","11","3",,
"West Ham","away","win","[{""time"":52,""event"":""goal""},{""time"":57,""event"":""foul""},{""time"":74,""event"":""goal""},{""time"":80,""event"":""foul""},{""time"":92,""event"":""foul""}]","1.83","25%","11","5","4","3","6","6","12","11","12","6",,
"Everton","home","win","[{""time"":35,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":79,""event"":""goal""},{""time"":83,""event"":""foul""},{""time"":86,""event"":""goal""},{""time"":87,""event"":""foul""},{""time"":92,""event"":""foul""},{""time"":96,""event"":""goal""}]","3.17","39%","21","6","5","3","15","0","10","12","18","3",,
"Newcastle","away","loss","[]","1.27","61%","13","3","2","0","10","2","19","20","8","3",,
"Aston Villa","home","win","[{""time"":60,""event"":""foul""},{""time"":74,""event"":""goal""},{""time"":85,""event"":""foul""},{""time"":87,""event"":""foul""}]","2.06","46%","22","7","6","2","15","0","18","13","13","2",,
"Manchester City","away","loss","[{""time"":45,""event"":""foul""},{""time"":53,""event"":""foul""}]","0.86","54%","2","2","0","2","0","5","13","11","13","6",,
"Manchester Utd","home","win","[{""time"":9,""event"":""foul""},{""time"":15,""event"":""foul""},{""time"":19,""event"":""goal""},{""time"":22,""event"":""foul""},{""time"":69,""event"":""goal""},{""time"":82,""event"":""foul""},{""time"":94,""event"":""foul""}]","4.11","45%","28","9","12","4","19","3","11","15","12","2",,
"Chelsea","away","loss","[{""time"":45,""event"":""goal""}]","1.43","55%","13","3","4","0","10","1","14","16","12","7",,
"Brighton","home","win","[{""time"":25,""event"":""foul""},{""time"":31,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":52,""event"":""goal""},{""time"":76,""event"":""foul""}]","1.40","61%","18","7","7","3","11","1","13","18","10","1",,
"Brentford","away","loss","[{""time"":27,""event"":""goal""},{""time"":40,""event"":""foul""},{""time"":76,""event"":""foul""}]","1.15","39%","8","2","3","1","6","2","12","21","8","5",,
"Crystal Palace","home","loss","[{""time"":29,""event"":""foul""},{""time"":45,""event"":""foul""}]","0.71","59%","16","3","3","1","13","0","17","21","10","2",,
"Bournemouth","away","win","[{""time"":25,""event"":""goal""},{""time"":53,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":91,""event"":""goal""}]","1.97","41%","11","4","9","3","7","0","10","18","17","3",,
"Fulham","home","win","[{""time"":30,""event"":""goal""},{""time"":34,""event"":""goal""},{""time"":54,""event"":""goal""},{""time"":74,""event"":""goal""},{""time"":86,""event"":""goal""}]","2.08","64%","14","6","6","0","8","2","12","16","7","1",,
"Nottingham","away","loss","[{""time"":76,""event"":""foul""}]","0.32","36%","4","1","1","1","3","3","10","17","10","1",,
"Sheffield Utd","home","loss","[{""time"":90,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.69","24%","6","1","2","2","5","1","12","20","12","6",,
"Liverpool","away","win","[{""time"":34,""event"":""foul""},{""time"":37,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":94,""event"":""goal""}]","1.91","76%","15","8","12","3","7","4","12","30","8","1",,
"Luton","home","loss","[{""time"":25,""event"":""goal""},{""time"":33,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":49,""event"":""goal""},{""time"":57,""event"":""goal""}]","0.47","33%","6","4","3","2","2","1","11","13","14","5",,
"Arsenal","away","win","[{""time"":20,""event"":""goal""},{""time"":45,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":60,""event"":""goal""},{""time"":97,""event"":""goal""},{""time"":98,""event"":""foul""}]","2.79","67%","23","9","8","1","14","4","15","15","7","1",,
"Wolves","home","win","[{""time"":42,""event"":""goal""},{""time"":57,""event"":""foul""},{""time"":80,""event"":""foul""}]","0.85","51%","7","4","5","2","3","2","15","21","11","3",,
"Burnley","away","loss","[{""time"":2,""event"":""foul""},{""time"":53,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":74,""event"":""foul""}]","0.85","49%","12","3","8","4","9","0","13","25","15","3",,
"Manchester City","home","draw","[{""time"":9,""event"":""goal""},{""time"":31,""event"":""goal""},{""time"":34,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":81,""event"":""goal""},{""time"":84,""event"":""foul""},{""time"":95,""event"":""foul""}]","2.87","55%","18","4","10","4","14","2","16","18","14","1",,
"Tottenham","away","draw","[{""time"":6,""event"":""goal""},{""time"":38,""event"":""foul""},{""time"":69,""event"":""goal""},{""time"":74,""event"":""foul""},{""time"":90,""event"":""goal""},{""time"":92,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.54","45%","8","4","8","4","4","2","16","16","14","1",,
"Bournemouth","home","draw","[{""time"":10,""event"":""goal""},{""time"":12,""event"":""foul""},{""time"":17,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":52,""event"":""goal""},{""time"":54,""event"":""foul""},{""time"":84,""event"":""foul""}]","1.81","37%","15","7","7","5","8","3","14","15","16","1",,
"Aston Villa","away","draw","[{""time"":20,""event"":""goal""},{""time"":22,""event"":""foul""},{""time"":30,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":90,""event"":""goal""}]","1.00","63%","11","3","7","3","8","2","19","21","12","5",,
"Chelsea","home","win","[{""time"":17,""event"":""goal""},{""time"":21,""event"":""goal""},{""time"":31,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":65,""event"":""goal""},{""time"":88,""event"":""foul""}]","1.91","32%","8","5","5","5","3","2","14","8","16","7",,"1"
"Brighton","away","loss","[{""time"":43,""event"":""goal""},{""time"":51,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":92,""event"":""goal""},{""time"":104,""event"":""foul""}]","0.92","68%","18","9","8","5","9","3","18","20","12","2",,"0"
"Liverpool","home","win","[{""time"":20,""event"":""goal""},{""time"":38,""event"":""goal""},{""time"":87,""event"":""goal""},{""time"":88,""event"":""goal""}]","2.51","62%","26","12","3",,"14","5","8","26","6","2",,
"Fulham","away","loss","[{""time"":24,""event"":""goal""},{""time"":48,""event"":""goal""},{""time"":80,""event"":""goal""}]","1.21","38%","9","5","4",,"4","1","11","20","7","8",,
"West Ham","home","draw","[{""time"":13,""event"":""goal""},{""time"":37,""event"":""foul""},{""time"":79,""event"":""foul""}]","1.10","55%","9","3","2","2","6","2","7","25","17","1",,
"Crystal Palace","away","draw","[{""time"":53,""event"":""goal""}]","0.83","45%","9","2","3","0","7","0","20","17","7","2",,
"Newcastle","home","win","[{""time"":55,""event"":""goal""},{""time"":86,""event"":""foul""},{""time"":97,""event"":""foul""}]","2.98","58%","22","4","7","1","18","0","14","18","6","1",,
"Manchester Utd","away","loss","[{""time"":77,""event"":""foul""},{""time"":92,""event"":""foul""}]","0.38","42%","8","1","3","2","7","1","6","19","14","3",,
