"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Blocked Shots","Red Cards"
"Nottingham","away","win","[{""time"":16,""event"":""foul""},{""time"":27,""event"":""goal""},{""time"":51,""event"":""goal""},{""time"":65,""event"":""goal""}]","1.49","46%","15","4","3","1","11","1","9","20","7","4",,"0"
"Arsenal","home","win","[{""time"":45,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":70,""event"":""goal""},{""time"":97,""event"":""goal""}]","3.45","56%","24","9","6","2","15","5","9","18","16","2",,
"Bournemouth","away","loss","[{""time"":21,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.40","44%","7","2","1","3","5","0","20","14","12","6",,
"Luton","home","draw","[{""time"":31,""event"":""goal""},{""time"":43,""event"":""foul""}]","0.87","50%","18","5","7","1","13","0","12","24","14","2",,
"Everton","away","draw","[{""time"":9,""event"":""foul""},{""time"":24,""event"":""goal""},{""time"":53,""event"":""foul""},{""time"":93,""event"":""foul""}]","1.64","50%","10","3","7","3","7","0","13","13","12","4",,
"Chelsea","home","win","[{""time"":24,""event"":""goal""},{""time"":72,""event"":""goal""}]","1.71","38%","16","5","4","0","11","1","19","14","12","3",,
"Tottenham","away","loss","[{""time"":67,""event"":""foul""}]","1.87","62%","19","3","9","1","16","2","13","22","16","3",,
"Nottingham","home","loss","[{""time"":35,""event"":""foul""}]","1.47","33%","14","2","4",,"12","2","7","16","8","3",,
"Manchester City","away","win","[{""time"":32,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":71,""event"":""goal""}]","0.70","67%","11","5","5",,"6","1","10","17","6","2",,
"Bournemouth","home","win","[{""time"":8,""event"":""foul""},{""time"":13,""event"":""goal""},{""time"":52,""event"":""goal""},{""time"":56,""event"":""foul""},{""time"":87,""event"":""goal""}]","2.33","30%","15","6","8","2","9","1","10","16","14","1",,
"Brighton","away","loss","[{""time"":58,""event"":""foul""},{""time"":66,""event"":""foul""}]","1.10","70%","13","1","2","2","12","1","15","20","10","3",,
